"","NAME","Y","X"
"5964","Sand",1147780,434307
"12059","Hogan",1147010,426422
"5953","Laxfirth",1146807,443273
"12055","Gronataing",1146799,424490
"5952","Whiteness",1146696,439193
"5955","Gott",1146139,443258
"1906","Tingwall Hall",1145907,443228
"12102","Stromness",1145754,438358
"5965","Culswick",1145317,427333
"12101","South Stromness",1144952,438165
"1307","Skeld",1144854,431044
"12058","Stagans",1144783,427271
"5951","Veensgarth",1144502,442926
"10923","Beosetter",1144120,449337
"5949","Gunnista",1143862,450070
"3501","Wester Skeld",1143859,429640
"13618","Gremista",1143632,446794
"5946","Heogan",1143283,447798
"3499","Westerwick",1142715,428303
"3500","Silwick",1142481,429425
"12103","Harpa",1142377,438179
"5945","Holmsgarth",1142353,446527
"13619","Garthspool",1141838,446924
"13620","Freefield",1141785,447252
"8425","Da Sheepie",1141601,395961
"8413","Gaada Stack",1141522,395817
"8426","Arvra Skerry",1141521,395345
"8427","Logat",1141273,395555
"7410","Lerwick",1141270,447696
"1863","East HÃ¦vdi",1141259,395146
"8415","Hiora Wick",1141249,396327
"8412","Strem Ness",1141073,396937
"8428","Skiordar",1140948,396134
"8411","Soberlie",1140894,395142
"5950","Burwick",1140840,439385
"8429","Ruscar",1140679,397228
"6813","Da Kirn o Nort Veedal",1140637,397091
"8437","Da Heights",1140630,395955
"8438","North Harrier",1140575,395519
"6805","Crougar",1140527,396672
"6800","Da Sloag o Ruscar",1140471,397087
"1862","North Bank",1140467,394520
"6797","Da Green Buls",1140446,396556
"5944","Sound",1140441,446184
"6803","Nort Veedal",1140289,397250
"8439","South Harrier",1140094,395954
"1859","Da Kame",1140080,393975
"6801","Da Swaa",1140054,397609
"5947","Grindiscol",1139983,449356
"1858","Da Skerries o da Rokness",1139755,393654
"6806","Da Heoag",1139698,397556
"6804","Da Sukkamires",1139684,397216
"1860","Nebbifield",1139676,393853
"8436","Ouvrafandal",1139664,395601
"5948","Ham",1139656,449368
"10924","East Ham",1139653,449578
"1861","Da Scrodhurdins",1139426,393726
"5664","Scalloway",1139400,440357
"6798","Da Sloag",1139298,397525
"8435","Da Brustins",1139231,395298
"8414","Hamnafield",1139178,395924
"6799","Veedal",1139177,397389
"6802","Da Taing",1139170,397684
"8431","Da Head o da Taing",1139139,397857
"10098","Blackness Quay",1139027,440340
"10097","Port Arthur",1139018,439623
"10925","South Ham",1138955,449384
"8418","Wester Hoevdi",1138855,393753
"10096","East Voe",1138651,440890
"8430","Di Head o da Baa",1138617,397620
"10094","Scarfataing",1138446,440039
"5943","Gulberwick",1138430,444040
"8416","Mucklabreks Wick",1138368,394352
"8417","Sneck o da Smallie",1138310,395001
"5959","Cutts",1138298,440335
"10095","Cauldhame",1138295,439646
"8432","Hamnabreck",1138265,397194
"8433","Durganess",1138183,397613
"1692","Kirkabister",1138142,449145
"8419","Daal",1138002,395906
"8422","South Wick",1137874,397452
"12109","Sandy Voe",1137473,435412
"8423","Hametoun",1137176,396478
"8440","Husawick",1136940,395967
"8434","Da Nab",1136710,396306
"8420","Hellabriks Wick",1136678,395996
"8421","South Ness",1136311,396530
"1310","Hamnavoe",1135928,436939
"5941","Quarff",1135778,443168
"5942","Wester Quarff",1135190,440985
"5958","Bridge End",1133344,437197
"5940","Fladdabister",1132666,443488
"5957","Papil",1131413,436966
"5956","Houss",1131262,437680
"9980","Duncansclett",1130941,436762
"5939","Aithsetter",1130522,444117
"12107","Minn",1130212,436256
"12108","Symbister",1129824,437168
"10106","Aith",1129753,444277
"10105","Gord",1129465,443831
"5938","Cunningsburgh",1129239,443089
"10099","Greenmow",1128912,444531
"10101","Disaldo",1128550,444379
"10100","Brind",1128498,443055
"10104","Skibhoull",1128480,443699
"10102","South Voxter",1128110,443672
"5937","Mail",1128054,443112
"12106","North Ham",1126675,436211
"5936","Leebitten",1124877,443486
"5932","Maywick",1124658,437832
"10116","Longhill",1124251,437809
"5934","Hoswick",1123926,441573
"12111","Knowe",1123764,446074
"5935","Sandwick",1123759,443374
"12110","The Haa",1123586,445923
"5933","Channerwick",1123370,440510
"5931","Northpunds",1122116,440732
"5928","Ireland",1122081,437709
"5927","Bigton",1121118,437882
"5930","Levenwick",1121015,440775
"5926","Scousburgh",1117890,437745
"10115","Troswick",1116895,440709
"5925","Skelberry",1116436,439071
"5929","Boddam",1115729,439757
"5924","Dunrossness",1115333,439458
"5923","Hillwell",1114149,437330
"5922","Quendale",1113216,437155
"1865","Exnaboe",1111951,439874
"5919","Toab",1111418,438850
"5920","Grutness",1110071,440565
"5921","Sumburgh",1109594,440071
"7209","Dronger",1073896,420671
"7210","Mopul",1073764,422495
"7208","Lerness",1073046,420392
"7199","Buness",1072646,422720
"7207","Burrashield",1072136,420414
"7198","Hoini",1071670,420308
"7211","Vaasetter",1071245,421716
"7196","Sheep rock",1071029,422076
"11358","Stonybreck",1070642,420320
"4940","Aester Houll",1070598,420587
"7197","Malcolms Head",1070535,419649
"4945","Quoy",1070494,420562
"4941","Rippack",1070462,421124
"4947","Kennaby",1070315,420736
"4943","Busta",1070126,420644
"4944","Koolin",1070044,420647
